Date,New Cases
31/01/2020,      2
01/02/2020,      0
02/02/2020,      0
03/02/2020,      0
04/02/2020,      0
05/02/2020,      0
06/02/2020,      1
07/02/2020,      0
08/02/2020,      0
09/02/2020,      1
10/02/2020,      4
11/02/2020,      0
12/02/2020,      0
13/02/2020,      1
14/02/2020,      0
15/02/2020,      0
16/02/2020,      0
17/02/2020,      0
18/02/2020,      0
19/02/2020,      0
20/02/2020,      0
21/02/2020,      0
22/02/2020,      0
23/02/2020,      0
24/02/2020,      4
25/02/2020,      0
26/02/2020,      0
27/02/2020,      0
28/02/2020,      6
29/02/2020,      4
01/03/2020,     12
02/03/2020,      5
03/03/2020,     11
04/03/2020,     34
05/03/2020,     29
06/03/2020,     46
07/03/2020,     46
08/03/2020,     65
09/03/2020,     50
10/03/2020,     52
11/03/2020,     83
12/03/2020,    139
13/03/2020,    207
14/03/2020,    264
15/03/2020,    330
16/03/2020,    152
17/03/2020,    407
18/03/2020,    676
19/03/2020,    643
20/03/2020,    714
21/03/2020,"  1,035"
22/03/2020,    665
23/03/2020,    967
24/03/2020,"  1,427"
25/03/2020,"  1,452"
26/03/2020,"  2,129"
27/03/2020,"  2,885"
28/03/2020,"  2,546"
29/03/2020,"  2,433"
30/03/2020,"  2,619"
31/03/2020,"  3,009"
01/04/2020,"  4,324"
02/04/2020,"  4,244"
03/04/2020,"  4,450"
04/04/2020,"  3,735"
05/04/2020,"  5,914"
06/04/2020,"  3,802"
07/04/2020,"  3,634"
08/04/2020,"  5,491"
